date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:07	13412/13412	---M-Z	200	added ('OK')	font/woff	etag:%2213775b13e0da95c9f4244439b57a3962%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.woff	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.woff	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:07	19120/19120	---M-Z	200	added ('OK')	font/ttf	etag:%22ba70ee870c96386deedf98b2976d4e68%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.ttf	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.ttf	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:07	63433/63433	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f7c9-bb7mvZkVWmsSwUQ0ufG6iIOh4ek%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.svg	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation.svg	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:07	2327/2327	---M--	200	added ('OK')	image/png	etag:%22917-qDHK19hRmDxAOZERvaSEJ3lsbEk%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo_large_25years_v2.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo_large_25years_v2.png	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:07	2274/2274	---M--	200	added ('OK')	image/png	etag:%228e2-qk5ybTZJIF4gX57FEyh/vKH6CHI%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo-pt__large_25years_v2.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo-pt__large_25years_v2.png	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:08	3175/3175	---M--	200	added ('OK')	image/png	etag:%22c67-W2LpgcZ66njYI+LGFiFh0c9LoIQ%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo_large_25years@2x.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo_large_25years@2x.png	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:08	3115/3115	---M--	200	added ('OK')	image/png	etag:%22c2b-9jJwa/xT5PPylXSS9pFB5ubHW6w%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo-pt__large_25years@2x.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/logo-pt__large_25years@2x.png	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:08	906/906	---M--	200	added ('OK')	image/png	etag:%2238a-T+BOPR7uJTPdtp0Xv4bj4XGC2zM%22	https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/accessibility.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/accessibility.png	(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:08	320/320	---M-Z	200	added ('OK')	text/css	etag:W/%227e911f6b6f844d930c79733be670edcc%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css	(from https://http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/app.7855444a.css)
23:21:09	1823/1823	---M--	200	added ('OK')	image/png	etag:%2271f-MytY/xR+DQXv4IdRqrADt+hoNCE%22	https://http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/a403d25c0282346cef21.png	C:/Meus%20Sites/22222/http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/a403d25c0282346cef21.png	(from https://http2.mlstatic.com/frontend-assets/buyingflow-frontend-core/app.7855444a.css)
23:21:09	3781/3781	---M--	404	error ('Not%20Found')	text/html	etag:%2266bd1bca-ec5%22	https://http2.mlstatic.com/robots.txt		(from https://http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.6.73/mercadolibre/navigation-desktop.css)
23:21:10	114034/114034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d872a335779a06255786be40b5b6fcbe%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.eot	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.eot	(from https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css)
23:21:10	114034/114034	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d872a335779a06255786be40b5b6fcbe%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.eot?	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400d41d.eot	(from https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css)
23:21:10	50384/50384	---MCZ	200	added ('OK')	font/woff2	etag:%2279b32ea23410d1605714af7c4cda4762%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.woff2	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.woff2	(from https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css)
23:21:10	66596/66596	---MCZ	200	added ('OK')	font/woff	etag:%22fdfb64c27192283c9fb591401bb43e9c%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.woff	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.woff	(from https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css)
23:21:11	113792/113792	---M-Z	200	added ('OK')	font/ttf	etag:%22bdcf45bb03f0df47cba66a45b9459917%22	https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.ttf	C:/Meus%20Sites/22222/http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/roboto-mono-400.ttf	(from https://http2.mlstatic.com/ui/webfonts/v4.2.0/roboto-mono/400.css)
